n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.32630, Test accuracy: 88.42%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.26063, Test accuracy: 88.33%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.39904, Test accuracy: 88.08%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.31940, Test accuracy: 88.31%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.50693, Test accuracy: 87.18%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.40018, Test accuracy: 87.94%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.28510, Test accuracy: 87.86%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.22689, Test accuracy: 88.15%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.32700, Test accuracy: 88.27%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.26238, Test accuracy: 87.74%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.40073, Test accuracy: 87.92%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.32183, Test accuracy: 88.33%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.24958, Test accuracy: 88.12%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.20744, Test accuracy: 87.59%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.25572, Test accuracy: 87.88%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.20749, Test accuracy: 87.67%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.28181, Test accuracy: 87.67%
n_hidden_lrs: 3, n_hidden_units: 30, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.22720, Test accuracy: 88.20%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.32104, Test accuracy: 87.61%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.25273, Test accuracy: 87.90%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.39352, Test accuracy: 87.65%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.31330, Test accuracy: 88.41%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.50302, Test accuracy: 86.64%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.39749, Test accuracy: 88.07%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.27818, Test accuracy: 88.17%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.21370, Test accuracy: 87.83%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.32220, Test accuracy: 88.11%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.25348, Test accuracy: 88.25%
n_hidden_lrs: 3, n_hidden_units: 40, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.39502, Test accuracy: 87.78%
